cid,server_round,elapsed
B,1,0.830831417
B,2,0.40839091699999996
B,3,0.5007837500000001
B,4,0.4053787500000001
B,5,0.3491133340000001
B,6,0.19338874999999955
B,7,0.06939891599999992
B,8,0.5426629170000004
B,9,0.3447178329999998
B,10,0.18681062499999967
B,11,0.12801287499999958
B,12,0.40686224999999965
B,13,0.6204580420000001
B,14,0.6812457910000003
B,15,0.330640292
B,16,0.19685891700000013
B,17,0.056581207999998995
B,18,0.06755008300000043
B,19,0.43393254200000086
B,20,0.5675020419999992
