cid,server_round,elapsed
A,1,0.8211241249999999
A,2,0.400888417
A,3,0.5009309589999997
A,4,0.4055388749999995
A,5,0.3533463329999993
A,6,0.1820325829999998
A,7,0.0803014589999993
A,8,0.5434482910000007
A,9,0.34490491699999914
A,10,0.19348737500000013
A,11,0.11388787500000142
A,12,0.4123143329999994
A,13,0.6207643329999986
A,14,0.6809414579999995
A,15,0.31696737500000083
A,16,0.18487462500000085
A,17,0.09021116699999965
A,18,0.07128462500000055
A,19,0.4338749999999987
A,20,0.5678014170000001
