cid,server_round,elapsed
A,1,0.8302535420000003
A,2,1.3347436250000007
A,3,0.9586313749999995
A,4,0.6266497909999993
A,5,0.9851776249999986
A,6,0.6880308339999992
A,7,0.7921282500000011
A,8,0.7626894999999987
A,9,1.0348147909999987
A,10,0.4309268339999992
A,11,1.4734975000000006
A,12,1.218659791000002
A,13,0.2630211249999981
A,14,1.0476294579999994
A,15,0.43353937499999873
A,16,0.49172104099999814
A,17,0.6709275419999976
A,18,0.9256746249999992
A,19,1.2955836250000026
A,20,0.8497453330000013
